Day.No,AO,AC,EO,EC,Vol_AO,Vol_AC,Vol_EO,Vol_EC,Target_1,,intercept,-0.183898,0.656523,0.509043,0.000082,-0.000066,0.000028,PRED,y-y_hat,(y-y_hat)^2,mod(T),,intercept,-0.1462,1.129,0.0183,-0.000001172,-0.00003887,0.000009966,PRED,y-y_hat,(y-y_hat)^2,mod(AE),
1,152.772,153.915,153.691,154.317,346,5038,2842,4702,1,,2.8616,-28.09446526,101.0487375,78.23532771,0.028372,-0.187572,0.079576,153.971576,0.345423998,0.119317738,0.345423998,,0.0305,-22.3352664,173.770035,2.8125453,-0.000405512,-0.19582706,0.028323372,154.1099047,0.2070953,0.042888463,0.2070953,
2,153.974,154.178,154.102,154.306,711,5716,2645,9981,1,,2.8616,-28.31551065,101.2214031,78.44454439,0.058302,-0.17457,0.07406,154.1698288,0.136171172,0.018542588,0.136171172,,0.0305,-22.5109988,174.066962,2.8200666,-0.000833292,-0.22218092,0.02636007,154.2098757,0.096124342,0.009239889,0.096124342,
3,154.324,154.438,154.52,154.692,620,4232,1861,9036,1,,2.8616,-28.37987495,101.3920991,78.65732436,0.05084,-0.122826,0.052108,154.5112705,0.180729518,0.032663159,0.180729518,,0.0305,-22.5621688,174.360502,2.827716,-0.00072664,-0.16449784,0.018546726,154.5098714,0.182128554,0.03317081,0.182128554,
4,154.651,155.158,155.15,155.597,633,4130,1672,6144,1,,2.8616,-28.4400096,101.8647956,78.97802145,0.051906,-0.110352,0.046816,155.2527775,0.344222514,0.118489139,0.344222514,,0.0305,-22.6099762,175.173382,2.839245,-0.000741876,-0.1605331,0.016663152,155.288539,0.308461024,0.095148203,0.308461024,
5,155.384,156.129,155.976,157.334,132,5234,3516,8594,1,,2.8616,-28.57480683,102.5022795,79.39849097,0.010824,-0.232056,0.098448,156.0647796,1.269220397,1.610920416,1.269220397,,0.0305,-22.7171408,176.269641,2.8543608,-0.000154704,-0.20344558,0.035040456,156.2688012,1.065198828,1.134648543,1.065198828,
6,157.067,156.93,156.996,156.819,588,5488,2202,7249,0,,2.8616,-28.88430717,103.0281544,79.91771483,0.048216,-0.145332,0.061656,156.8877021,-0.068702052,0.004719972,0.068702052,,0.0305,-22.9631954,177.17397,2.8730268,-0.000689136,-0.21331856,0.021945132,156.9222388,-0.103238836,0.010658257,0.103238836,
7,156.87,157.176,157.225,157.712,407,5819,2456,7377,1,,2.8616,-28.84807926,103.189659,80.03428568,0.033374,-0.162096,0.068768,157.1775115,0.534488537,0.285677996,0.534488537,,0.0305,-22.934394,177.451704,2.8772175,-0.000477004,-0.22618453,0.024476496,157.2228425,0.489157538,0.239275097,0.489157538,
8,157.687,158.151,158.144,157.508,365,5114,2289,6934,0,,2.8616,-28.99832393,103.829769,80.50209619,0.02993,-0.151074,0.064092,158.1380892,-0.630089239,0.397012449,0.630089239,,0.0305,-23.0538394,178.552479,2.8940352,-0.00042778,-0.19878118,0.022812174,158.246778,-0.738778014,0.545792954,0.738778014,
9,157.932,157.443,157.619,157.184,489,5614,3551,7446,0,,2.8616,-29.04337894,103.3649507,80.23484862,0.040098,-0.234366,0.099428,157.3231804,-0.13918037,0.019371175,0.13918037,,0.0305,-23.0896584,177.753147,2.8844277,-0.000573108,-0.21821618,0.035389266,157.3950163,-0.211016278,0.04452787,0.211016278,
10,157.118,157.278,157.352,156.828,398,6366,2804,7549,0,,2.8616,-28.89368596,103.2566244,80.09893414,0.032636,-0.185064,0.078512,157.2495566,-0.421556566,0.177709938,0.421556566,,0.0305,-22.9706516,177.566862,2.8795416,-0.000466456,-0.24744642,0.027944664,157.2862838,-0.458283788,0.21002403,0.458283788,
